file, solution, objective
ela_seuclidean_p80_seed40_t600_redumis.out, [ ... ], 8280
ela_seuclidean_p80_seed50_t600_redumis.out, [ ... ], 8280
ela_seuclidean_p90_seed20_t600_redumis.out, [ ... ], 8280
ela_seuclidean_p90_seed30_t600_redumis.out, [ ... ], 8280
ela_seuclidean_p90_seed40_t600_redumis.out, [ ... ], 8280
ela_seuclidean_p90_seed50_t600_redumis.out, [ ... ], 8280
ela_seuclidean_p95_seed20_t600_redumis.out, [ ... ], 8280
ela_seuclidean_p95_seed30_t600_redumis.out, [ ... ], 8280
ela_seuclidean_p95_seed40_t600_redumis.out, [ ... ], 8280
ela_seuclidean_p95_seed50_t600_redumis.out, [ ... ], 8280
tinytla_correlation_p10_seed20_t600_redumis.out, [ ... ], 487
tinytla_correlation_p10_seed30_t600_redumis.out, [ ... ], 487
tinytla_correlation_p20_seed20_t600_redumis.out, [ ... ], 1075
tinytla_correlation_p20_seed30_t600_redumis.out, [ ... ], 1075
tinytla_correlation_p20_seed40_t600_redumis.out, [ ... ], 1075
tinytla_correlation_p20_seed50_t600_redumis.out, [ ... ], 1075
tinytla_correlation_p50_seed20_t600_redumis.out, [ ... ], 3453
tinytla_correlation_p50_seed30_t600_redumis.out, [ ... ], 3453
tinytla_correlation_p50_seed40_t600_redumis.out, [ ... ], 3453
tinytla_correlation_p50_seed50_t600_redumis.out, [ ... ], 3453
tinytla_correlation_p80_seed20_t600_redumis.out, [ ... ], 5875
tinytla_correlation_p80_seed30_t600_redumis.out, [ ... ], 5875
tinytla_correlation_p80_seed40_t600_redumis.out, [ ... ], 5875
tinytla_correlation_p80_seed50_t600_redumis.out, [ ... ], 5875
tinytla_correlation_p95_seed20_t600_redumis.out, [ ... ], 7632
tinytla_correlation_p95_seed30_t600_redumis.out, [ ... ], 7632
tinytla_correlation_p95_seed40_t600_redumis.out, [ ... ], 7632
tinytla_correlation_p95_seed50_t600_redumis.out, [ ... ], 7632
tinytla_cosine_p10_seed20_t600_redumis.out, [ ... ], 485
tinytla_cosine_p10_seed30_t600_redumis.out, [ ... ], 485
tinytla_cosine_p10_seed40_t600_redumis.out, [ ... ], 485
tinytla_cosine_p10_seed50_t600_redumis.out, [ ... ], 485
tinytla_cosine_p20_seed20_t600_redumis.out, [ ... ], 1077
tinytla_cosine_p20_seed40_t600_redumis.out, [ ... ], 1077
tinytla_cosine_p20_seed50_t600_redumis.out, [ ... ], 1077
tinytla_cosine_p50_seed20_t600_redumis.out, [ ... ], 3455
tinytla_cosine_p50_seed30_t600_redumis.out, [ ... ], 3455
tinytla_cosine_p50_seed40_t600_redumis.out, [ ... ], 3455
tinytla_cosine_p50_seed50_t600_redumis.out, [ ... ], 3455
tinytla_cosine_p80_seed20_t600_redumis.out, [ ... ], 5867
tinytla_cosine_p80_seed30_t600_redumis.out, [ ... ], 5867
tinytla_cosine_p80_seed40_t600_redumis.out, [ ... ], 5867
tinytla_cosine_p95_seed20_t600_redumis.out, [ ... ], 7631
tinytla_cosine_p95_seed30_t600_redumis.out, [ ... ], 7631
tinytla_cosine_p95_seed40_t600_redumis.out, [ ... ], 7631
tinytla_cosine_p95_seed50_t600_redumis.out, [ ... ], 7631
tinytla_seuclidean_p10_seed20_t600_redumis.out, [ ... ], 364
tinytla_seuclidean_p10_seed40_t600_redumis.out, [ ... ], 364
tinytla_seuclidean_p10_seed50_t600_redumis.out, [ ... ], 364
tinytla_seuclidean_p20_seed20_t600_redumis.out, [ ... ], 763
tinytla_seuclidean_p20_seed30_t600_redumis.out, [ ... ], 763
tinytla_seuclidean_p20_seed40_t600_redumis.out, [ ... ], 763
tinytla_seuclidean_p20_seed50_t600_redumis.out, [ ... ], 763
tinytla_seuclidean_p50_seed20_t600_redumis.out, [ ... ], 2592
tinytla_seuclidean_p50_seed30_t600_redumis.out, [ ... ], 2592
tinytla_seuclidean_p50_seed40_t600_redumis.out, [ ... ], 2592
tinytla_seuclidean_p50_seed50_t600_redumis.out, [ ... ], 2592
tinytla_seuclidean_p80_seed20_t600_redumis.out, [ ... ], 5937
tinytla_seuclidean_p80_seed30_t600_redumis.out, [ ... ], 5937
tinytla_seuclidean_p90_seed20_t600_redumis.out, [ ... ], 6971
tinytla_seuclidean_p90_seed30_t600_redumis.out, [ ... ], 6971
tinytla_seuclidean_p90_seed40_t600_redumis.out, [ ... ], 6971
tinytla_seuclidean_p90_seed50_t600_redumis.out, [ ... ], 6971
tinytla_seuclidean_p95_seed20_t600_redumis.out, [ ... ], 7467
tinytla_seuclidean_p95_seed30_t600_redumis.out, [ ... ], 7467
tinytla_seuclidean_p95_seed40_t600_redumis.out, [ ... ], 7467
tinytla_seuclidean_p95_seed50_t600_redumis.out, [ ... ], 7467
transoptas_5pso_correlation_p10_seed20_t600_redumis.out, [ ... ], 493
transoptas_5pso_correlation_p20_seed20_t600_redumis.out, [ ... ], 972
transoptas_5pso_correlation_p20_seed40_t600_redumis.out, [ ... ], 972
